"","title","rating","year","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Fantasy","Horror","Musical","Mystery","Romance","SciFi","Thriller","War","Western","FilmNoir","freq"
"19","10,000 B.C.",2.52990033222591,2008,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,301
"20","100 Feet",2,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"21","100 Girls",3.28947368421053,2000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,57
"22","100 Rifles",2.75,1969,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
"23","1000 Eyes of Dr. Mabuse, The (Tausend Augen des Dr. Mabuse, Die)",3.46666666666667,1960,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,30
"24","101 Dalmatians",3.11032751613674,1996,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4183
"25","101 Reykjavik (101 Reykjavík)",3.60731707317073,2000,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,205
"26","102 Dalmatians",2.38299663299663,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,594
"27","10th & Wolf",2.78947368421053,2006,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,19
"28","10th Victim, The (La Decima Vittima)",3.36666666666667,1965,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,45
"29","11'09""01 - September 11",3.36206896551724,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58
"30","11:14",3.5819209039548,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,177
"31","12 Angry Men",4.2381174277726,1957,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5365
"32","12 Monkeys (Twelve Monkeys)",3.87506660654999,1995,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,24397
"33","13 Ghosts",2.67370892018779,1960,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,213
"34","13 Going on 30",3.16165803108808,2004,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,965
"35","13 Rue Madeleine",3.640625,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,32
"36","13 Tzameti",3.62244897959184,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49
"37","13th Warrior, The",3.05608214849921,1999,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3798
"38","1408",3.20576923076923,2007,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,520
"39","1492: Conquest of Paradise",3.02960526315789,1992,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,152
"40","15 Minutes",2.96892655367232,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,885
"41","16 Blocks",3.28558558558559,2006,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,555
"42","1776",3.4609756097561,1972,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,205
"43","18 Again!",2.35666666666667,1988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150
"44","1900 (Novecento)",3.51744186046512,1976,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,86
"45","1941",2.80128205128205,1979,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,312
"46","1969",2.75806451612903,1988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,62
"47","1984",3.734375,1956,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,64
"48","1984 (a.k.a. Nineteen Eighty-Four)",3.61741122565865,1984,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1746
"49","2 Days in Paris",3.33928571428571,2007,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,140
"50","2 Days in the Valley",3.29139569784892,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1999
"51","2 Fast 2 Furious",2.39504260263362,2003,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1291
"52","20 Dates",2.75769230769231,1998,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,520
"53","20 Million Miles to Earth",3.36363636363636,1957,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66
"54","20,000 Leagues Under the Sea",3.41666666666667,1916,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3451
"55","20,000 Leagues Under the Sea",3.57968069666183,1954,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3451
"56","200 Cigarettes",2.8775956284153,1999,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,915
"57","2001 Maniacs",1.94444444444444,2005,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9
"58","2001: A Space Odyssey",3.96412985223184,1968,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13061
"59","2010: The Year We Make Contact",3.3656937394247,1984,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2364
"60","2046",3.70762711864407,2004,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,472
"61","21",3.39425287356322,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,435
"62","21 Grams",3.72000773993808,2003,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2584
"63","21 Up",3.96875,1977,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64
"64","24-hour Woman",2.44736842105263,1998,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38
"65","24 7: Twenty Four Seven",3.28260869565217,1997,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,46
"66","24 Hour Party People",3.6237037037037,2002,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,675
"67","24th Day, The",3.15,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20
"68","25th Hour",3.79956161714564,2002,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2053
"69","27 Dresses",3.0828125,2008,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,320
"70","28 Days",3.07342361404994,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2363
"71","28 Days Later",3.69429766622633,2002,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4542
"72","28 Up",4.08833333333333,1985,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,300
"73","28 Weeks Later",3.42257360959651,2007,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,917
"74","29th Street",3.5,1991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"75","3-Iron (Bin-jip)",3.98347107438017,2004,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,363
"76","3 Bad Men",3.4,1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
"77","3 Days of the Condor (a.k.a. Three Days of the Condor)",3.99417960088692,1975,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1804
"78","3 Godfathers",3.2,1948,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10
"79","3 Ninjas",2.1629711751663,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451
"80","3 Ninjas Kick Back",1.71554770318021,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283
"81","3 Ninjas Knuckle Up",1.5125,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
"82","3 Ninjas: High Noon On Mega Mountain",1.46428571428571,1998,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,336
"83","3 Strikes",2.16216216216216,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"84","3 Women (Three Women)",3.83455882352941,1977,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,136
"85","3:10 to Yuma",3.70418848167539,1957,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1421
"86","3:10 to Yuma",3.81382113821138,2007,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1421
"87","30 Days of Night",3.02413793103448,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,290
"88","30 Years to Life",1.83333333333333,2001,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3
"89","300",3.71540936717912,2007,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2797
"90","300 Spartans, The",3.82608695652174,1962,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23
"91","3000 Miles to Graceland",2.66941624365482,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,788
"92","301, 302 (a.k.a. 301/302)",2.97058823529412,1995,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,51
"93","36 fillette",3,1988,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,16
"94","36 Hours",3.5,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
"95","36 Quai des Orfèvres (Department 36)",3,2004,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
"96","36th Chamber of Shaolin, The (a.k.a. Master Killer) (Shao Lin san shi liu fang)",3.72727272727273,1978,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"97","39 Steps, The",4.06567470497691,1935,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1949
"98","4",2.5,2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"99","4 for Texas",3.03448275862069,1963,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,29
"100","4 Little Girls",3.80571428571429,1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,175
"101","4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile)",3.81220657276995,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,213
"102","40 Days and 40 Nights",2.84082892416226,2002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1134
"103","40 Year Old Virgin, The",3.60625589437284,2005,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3181
"104","400 Blows, The (Les Quatre cents coups)",4.20789473684211,1959,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1330
"105","42 Up",4.12038664323374,1998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,569
"106","42nd Street",3.7265625,1933,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,128
"107","48 Hrs.",3.49189189189189,1982,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2035
"108","49 Up",4.03030303030303,2005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66
"109","49th Parallel",3.25,1941,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,10
"110","5 Card Stud (a.k.a. Five Card Stud)",3.08108108108108,1968,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,37
"111","5 Centimeters per Second (Byôsoku 5 senchimêtoru)",3.25,2007,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
"112","5 Fingers",3.30769230769231,1952,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,13
"113","5,000 Fingers of Dr. T, The",3.61016949152542,1953,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,177
"114","50 First Dates",3.44500924214418,2004,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2164
"115","52 Pick-Up",3.08139534883721,1986,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,387
"116","54",2.78756476683938,1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1351
"117","55 Days at Peking",3.5,1963,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5
"118","5th Musketeer, The (a.k.a. Fifth Musketeer, The)",2.79310344827586,1979,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"119","5x2",3.41549295774648,2004,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,71
"120","633 Squadron",3.27272727272727,1964,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,22
"121","6ixtynin9 (Ruang Talok 69)",3.46666666666667,1999,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,30
"122","6th Day, The",2.95595533498759,2000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2418
"123","6th Man, The",2.75348837209302,1997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,215
"124","7 Faces of Dr. Lao",3.25,1964,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6
"125","7 Men from Now",3.5,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"126","7th Voyage of Sinbad, The",3.61231101511879,1958,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,926
"127","8 1/2",4.07400257400257,1963,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1554
"128","8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women)",2.81638418079096,1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,177
"129","8 Heads in a Duffel Bag",2.56747638326586,1997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,741
"130","8 Mile",3.28342245989305,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2244
"131","8 Seconds",3.21102150537634,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,372
"132","8 Women (8 femmes)",3.4044289044289,2002,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,429
"133","800 Bullets (800 balas)",2.90740740740741,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,27
"134","84 Charing Cross Road",3.8659793814433,1987,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,291
"135","88 Minutes",2.86184210526316,2008,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,152
"136","8MM",2.90083994400373,1999,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2143
"137","9 Songs",2.83333333333333,2004,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,96
"138","976-EVIL",1.85810810810811,1989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74
"139","99 francs",3.56451612903226,2007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"140","A Nous La Liberte (À nous la Liberté)",3.65555555555556,1931,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,90
"141","A.I. Artificial Intelligence",3.17533915629065,2001,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5381
"142","Âge d'or, L'",3.58510638297872,1930,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,47
"143","Abandon",2.54487179487179,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,156
"144","Abandoned, The",2.5,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29
"145","Abbott and Costello Meet Dr. Jekyll and Mr. Hyde",3.5,1953,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,15
"146","Abbott and Costello Meet Frankenstein",3.42753623188406,1948,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,552
"147","Abbott and Costello Meet the Invisible Man",3.18421052631579,1951,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,19
"148","Abbott and Costello Meet the Killer, Boris Karloff",3.25,1949,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,12
"149","Abbott and Costello Meet the Mummy",3.16504854368932,1955,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,206
"150","Aberdeen",3.56470588235294,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85
"151","Abominable Dr. Phibes, The",3.50434782608696,1971,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,230
"152","Abominable Snowman, The",2.59782608695652,1957,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,46
"153","About a Boy",3.74572743207713,2002,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4564
"154","About Adam",3.33881578947368,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,152
"155","About Last Night...",3.09337561663143,1986,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1419
"156","About Schmidt",3.49801300578035,2002,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2768
"157","Above Suspicion",2.85714285714286,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28
"158","Above the Law",2.74766355140187,1988,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,321
"159","Above the Rim",3.01646090534979,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,243
"160","Abraham's Valley (Vale Abraão)",2.5,1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
"161","Absence of Malice",3.58211143695015,1981,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,341
"162","Absent Minded Professor, The",3.38093667546174,1961,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1516
"163","Absolute Beginners",2.78289473684211,1986,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76
"164","Absolute Power",3.35050553683197,1997,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2077
"165","Abyss, The",3.64873450148581,1989,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9759
"166","Acacia",2.5,2003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12
"167","Accattone",3.64285714285714,1961,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28
"168","Accepted",3.26421404682274,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,299
"169","Accident",3.44736842105263,1967,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,19
"170","Accidental Husband, The",2.33333333333333,2008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"171","Accidental Tourist, The",3.46228868660598,1988,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,769
"172","Accused (Anklaget)",0.5,2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"173","Accused, The",3.75539956803456,1988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,926
"174","Ace High (Quattro dell'Ave Maria, I)",3,1968,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"175","Ace in the Hole (a.k.a. Big Carnival, The)",3.99752475247525,1951,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,202
"176","Ace of Aces (a.k.a. The Super Ace) (L'As des As)",2.4375,1982,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"177","Ace of Hearts",2,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"178","Ace of Hearts, The",3.5,1921,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
"179","Ace Ventura: Pet Detective",2.98025126106405,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21014
"180","Ace Ventura: When Nature Calls",2.57819925689104,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11573
"181","Aces: Iron Eagle III",1.6752688172043,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465
"182","Acid House, The",3.18110236220472,1998,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,127
"183","Across 110th Street",3.19354838709677,1972,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31
"184","Across the Pacific",2.57142857142857,1942,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7
"185","Across the Sea of Time",2.88181818181818,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55
"186","Across the Universe",3.68696883852691,2007,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,353
"187","Act of Violence",3.83333333333333,1948,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6
"188","Action in the North Atlantic",3.26666666666667,1943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
"189","Action Jackson",2.23413566739606,1988,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,457
"190","Actor's Revenge, An (Yukinojo henge)",3.58,1963,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25
"191","Adam's Rib",3.93078512396694,1949,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,484
"192","Adam & Steve",3.14285714285714,2005,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7
"193","Adam Sandler's 8 Crazy Nights",2.37745098039216,2002,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,306
"194","Adanggaman",2.82142857142857,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14
"195","Adaptation",3.85327667188548,2002,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4471
"196","Addams Family Values",2.97625623663578,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11224
"197","Addams Family, The",3.17020774315392,1991,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4236
"198","Addicted to Love",3.11780303030303,1997,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1320
"199","Addiction, The",3.13177339901478,1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,406
"200","Adios, Sabata (Indio Black, sai che ti dico: Sei un gran figlio di...)",1.5,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"201","Adrenalin: Fear the Rush",2.35795454545455,1996,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88
"202","Adventure of Sherlock Holmes' Smarter Brother, The",3.13636363636364,1975,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,11
"203","Adventures in Babysitting",3.20540639941155,1987,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2719
"204","Adventures of Baron Munchausen, The",3.6025069637883,1988,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1795
"205","Adventures of Buckaroo Banzai Across the 8th Dimension, The",3.34796380090498,1984,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2210
"206","Adventures of Don Juan",3.125,1948,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
"207","Adventures of Elmo in Grouchland, The",2.28794642857143,1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,224
"208","Adventures of Felix, The (a.k.a. Funny Felix) (Drôle de Félix)",3.31081081081081,2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,37
"209","Adventures of Ford Fairlane, The",2.64420062695925,1990,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,319
"210","Adventures of Huck Finn, The",3.11415525114155,1993,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,219
"211","Adventures of Huckleberry Finn, The",3.22033898305085,1960,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"212","Adventures of Huckleberry Finn, The",2.83333333333333,1939,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62
"213","Adventures of Ichabod and Mr. Toad, The",3.5203125,1949,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320
"214","Adventures of Milo and Otis, The (Koneko monogatari)",3.19601930036188,1986,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,829
"215","Adventures of Pinocchio, The",3.16198704103672,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926
"216","Adventures of Pluto Nash, The",2.06327160493827,2002,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,324
"217","Adventures of Priscilla, Queen of the Desert, The",3.67031375703942,1994,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6215
"218","Adventures of Robin Hood, The",3.91317365269461,1938,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2171
"219","Adventures of Rocky and Bullwinkle, The",2.26237623762376,2000,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,909
"220","Adventures of Sebastian Cole, The",3.21714285714286,1998,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,175
"221","Adventures of Shark Boy & Lava Girl in 3-D, The",1.88414634146341,2005,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,82
"222","Adventures of Sherlock Holmes, The",3.72692307692308,1939,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,130
"223","Advise and Consent",3.82352941176471,1962,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68
"224","Aeon Flux",2.87756497948016,2005,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,731
"225","Aerial, The (La Antena)",3.375,2007,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,4
